CMDLINE python main.py
MEM 66.773438 1704892707.9396
MEM 66.773438 1704892708.0399
MEM 66.773438 1704892708.1415
MEM 66.773438 1704892708.2426
MEM 66.773438 1704892708.3434
MEM 66.773438 1704892708.4441
MEM 66.773438 1704892708.5451
MEM 66.773438 1704892708.6460
MEM 66.773438 1704892708.7461
MEM 66.773438 1704892708.8468
MEM 66.773438 1704892708.9476
MEM 66.773438 1704892709.0483
MEM 66.781250 1704892709.1485
MEM 66.781250 1704892709.2488
MEM 66.792969 1704892709.3493
MEM 66.796875 1704892709.4502
MEM 66.816406 1704892709.5504
MEM 66.839844 1704892709.6511
MEM 66.839844 1704892709.7515
MEM 66.839844 1704892709.8530
MEM 66.839844 1704892709.9539
MEM 66.839844 1704892710.0555
MEM 66.839844 1704892710.1564
MEM 66.839844 1704892710.2576
MEM 66.839844 1704892710.3585
MEM 66.839844 1704892710.4593
MEM 66.839844 1704892710.5601
MEM 66.839844 1704892710.6606
MEM 66.839844 1704892710.7615
MEM 66.839844 1704892710.8626
MEM 66.839844 1704892710.9637
MEM 66.839844 1704892711.0644
MEM 66.839844 1704892711.1658
MEM 66.839844 1704892711.2668
MEM 66.839844 1704892711.3673
MEM 66.839844 1704892711.4683
MEM 66.839844 1704892711.5691
MEM 66.839844 1704892711.6697
MEM 66.839844 1704892711.7706
MEM 66.839844 1704892711.8713
MEM 66.839844 1704892711.9725
MEM 66.839844 1704892712.0733
MEM 66.839844 1704892712.1743
MEM 66.839844 1704892712.2752
MEM 66.843750 1704892712.3765
MEM 66.843750 1704892712.4771
MEM 66.843750 1704892712.5782
MEM 66.843750 1704892712.6789
MEM 66.843750 1704892712.7800
MEM 66.843750 1704892712.8817
MEM 66.843750 1704892712.9830
MEM 66.843750 1704892713.0842
MEM 66.843750 1704892713.1847
MEM 66.843750 1704892713.2852
MEM 66.843750 1704892713.3863
MEM 66.843750 1704892713.4870
MEM 66.843750 1704892713.5875
MEM 66.843750 1704892713.6886
MEM 66.843750 1704892713.7899
MEM 66.843750 1704892713.8902
MEM 66.843750 1704892713.9913
MEM 66.843750 1704892714.0927
MEM 66.843750 1704892714.1937
MEM 66.843750 1704892714.2944
MEM 66.843750 1704892714.3954
MEM 66.843750 1704892714.4965
MEM 66.843750 1704892714.5971
MEM 66.843750 1704892714.6980
MEM 66.851562 1704892714.7990
MEM 66.851562 1704892714.8999
MEM 66.851562 1704892715.0004
MEM 66.851562 1704892715.1007
MEM 66.855469 1704892715.2013
MEM 66.855469 1704892715.3014
MEM 66.863281 1704892715.4021
MEM 66.863281 1704892715.5034
MEM 66.863281 1704892715.6050
MEM 66.863281 1704892715.7063
MEM 66.863281 1704892715.8074
MEM 66.863281 1704892715.9080
MEM 66.863281 1704892716.0091
MEM 66.863281 1704892716.1100
MEM 66.863281 1704892716.2116
MEM 66.863281 1704892716.3132
MEM 66.863281 1704892716.4137
MEM 66.863281 1704892716.5152
MEM 66.863281 1704892716.6157
MEM 66.863281 1704892716.7168
MEM 66.863281 1704892716.8171
MEM 66.863281 1704892716.9182
MEM 66.863281 1704892717.0200
MEM 66.863281 1704892717.1204
MEM 66.863281 1704892717.2219
MEM 66.863281 1704892717.3224
MEM 66.863281 1704892717.4231
MEM 66.863281 1704892717.5245
MEM 66.863281 1704892717.6252
MEM 66.863281 1704892717.7262
MEM 66.863281 1704892717.8268
MEM 66.863281 1704892717.9278
MEM 66.863281 1704892718.0284
MEM 66.863281 1704892718.1289
MEM 66.863281 1704892718.2292
MEM 66.863281 1704892718.3302
MEM 66.863281 1704892718.4311
MEM 66.863281 1704892718.5323
MEM 66.863281 1704892718.6334
MEM 66.863281 1704892718.7339
MEM 66.863281 1704892718.8345
MEM 66.863281 1704892718.9352
MEM 66.863281 1704892719.0357
MEM 66.863281 1704892719.1366
MEM 66.863281 1704892719.2376
MEM 66.863281 1704892719.3387
MEM 66.863281 1704892719.4396
MEM 66.863281 1704892719.5403
MEM 66.863281 1704892719.6408
MEM 66.863281 1704892719.7418
MEM 66.863281 1704892719.8433
MEM 66.863281 1704892719.9440
MEM 66.863281 1704892720.0443
MEM 66.863281 1704892720.1453
MEM 66.863281 1704892720.2458
MEM 66.863281 1704892720.3467
MEM 66.886719 1704892720.4478
MEM 66.921875 1704892720.5481
MEM 66.921875 1704892720.6485
MEM 66.921875 1704892720.7490
MEM 66.921875 1704892720.8494
MEM 66.921875 1704892720.9501
MEM 66.921875 1704892721.0508
MEM 66.921875 1704892721.1516
MEM 66.921875 1704892721.2521
MEM 66.921875 1704892721.3529
MEM 66.921875 1704892721.4531
MEM 66.921875 1704892721.5537
MEM 66.921875 1704892721.6542
MEM 66.921875 1704892721.7549
MEM 66.921875 1704892721.8559
MEM 66.921875 1704892721.9568
MEM 66.921875 1704892722.0577
MEM 66.921875 1704892722.1586
MEM 66.921875 1704892722.2598
MEM 66.921875 1704892722.3606
MEM 66.921875 1704892722.4613
MEM 66.921875 1704892722.5619
